nome_planeta,categoria_original,categoria_predita,previsao_correta
Kepler-12 b,Não-Terrestre,Não-Terrestre,True
Kepler-1170 b,Não-Terrestre,Não-Terrestre,True
HD 215497 b,Terrestre,Terrestre,True
K2-125 b,Terrestre,Terrestre,True
Kepler-405 c,Não-Terrestre,Não-Terrestre,True
K2-3 b,Terrestre,Terrestre,True
Kepler-1167 b,Não-Terrestre,Não-Terrestre,True
Kepler-1880 b,Não-Terrestre,Não-Terrestre,True
Kepler-1404 b,Não-Terrestre,Não-Terrestre,True
GJ 3998 c,Não-Terrestre,Não-Terrestre,True
Kepler-1207 b,Não-Terrestre,Não-Terrestre,True
Kepler-9 d,Não-Terrestre,Não-Terrestre,True
Kepler-727 b,Não-Terrestre,Não-Terrestre,True
Kepler-181 c,Não-Terrestre,Não-Terrestre,True
Kepler-1891 b,Não-Terrestre,Não-Terrestre,True
Kepler-138 b,Não-Terrestre,Não-Terrestre,True
Kepler-983 b,Não-Terrestre,Não-Terrestre,True
Kepler-1380 b,Não-Terrestre,Não-Terrestre,True
Kepler-711 b,Não-Terrestre,Não-Terrestre,True
Kepler-1262 b,Não-Terrestre,Não-Terrestre,True
Kepler-893 b,Não-Terrestre,Não-Terrestre,True
HD 5278 c,Não-Terrestre,Não-Terrestre,True
Kepler-326 d,Não-Terrestre,Não-Terrestre,True
Kepler-662 b,Não-Terrestre,Não-Terrestre,True
Kepler-179 c,Não-Terrestre,Não-Terrestre,True
TOI-813 b,Não-Terrestre,Não-Terrestre,True
HIP 9618 b,Não-Terrestre,Não-Terrestre,True
TOI-5678 b,Terrestre,Terrestre,True
Kepler-1032 b,Não-Terrestre,Não-Terrestre,True
OGLE-TR-113 b,Não-Terrestre,Não-Terrestre,True
Kepler-1894 c,Não-Terrestre,Não-Terrestre,True
Kepler-249 b,Não-Terrestre,Não-Terrestre,True
Kepler-1102 b,Não-Terrestre,Não-Terrestre,True
Kepler-1029 b,Não-Terrestre,Não-Terrestre,True
Kepler-183 b,Não-Terrestre,Não-Terrestre,True
Kepler-371 c,Não-Terrestre,Não-Terrestre,True
GJ 433 b,Terrestre,Terrestre,True
Kepler-1987 e,Não-Terrestre,Não-Terrestre,True
Kepler-1915 b,Não-Terrestre,Não-Terrestre,True
GJ 682 b,Terrestre,Terrestre,True
TOI-763 c,Terrestre,Terrestre,True
HD 102195 b,Não-Terrestre,Não-Terrestre,True
Kepler-1964 b,Não-Terrestre,Não-Terrestre,True
Kepler-1101 b,Não-Terrestre,Não-Terrestre,True
WASP-75 b,Não-Terrestre,Não-Terrestre,True
Kepler-729 b,Não-Terrestre,Não-Terrestre,True
Barnard c,Terrestre,Terrestre,True
LHS 475 b,Não-Terrestre,Não-Terrestre,True
Kepler-226 c,Não-Terrestre,Não-Terrestre,True
Kepler-267 d,Não-Terrestre,Não-Terrestre,True
HD 177565 b,Não-Terrestre,Não-Terrestre,True
WASP-60 b,Não-Terrestre,Não-Terrestre,True
Kepler-705 b,Não-Terrestre,Não-Terrestre,True
Kepler-1080 b,Não-Terrestre,Não-Terrestre,True
Kepler-207 c,Não-Terrestre,Não-Terrestre,True
