nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
24 Boo b,14.380991161567351,1390000000.0,28064248338.0,0.194
51 Peg b,33.50594217510884,1430000000.0,14620180000.0,0.0527
55 Cnc b,18.40735196958603,1390000000.0,26397850000.0,0.1134
55 Cnc c,46.700334881286025,851000000.0,5447380000.0,0.2373
55 Cnc e,72.26543375509091,187500000.0,799000000.0,0.01544
61 Vir b,66.1015276492303,211000000.0,510000000.0,0.050201
61 Vir c,52.64043542751061,446000000.0,1820000000.0,0.2175
8 UMi b,6.727086205363081,1360000000.0,41635730000.0,0.49
AU Mic b,66.54411543460571,395677019.0,2012000000.0,0.0649
AU Mic c,69.26272082617638,252202066.0,960000000.0,0.1108
BD+20 594 b,64.09814907277035,257807000.0,2224810000.0,0.241
BD-06 1339 b,70.61333028587158,285000000.0,850000000.0,0.0428
BD-10 3166 b,29.245244497861435,1410000000.0,18751970000.0,0.04
Barnard b,78.52059854029433,0.72,0.299,0.0229
Barnard c,74.59542542017711,0.743,0.335,0.0274
Barnard d,77.88707843425607,0.694,0.263,0.0188
Barnard e,77.22588208354874,0.637,0.193,0.0381
CoRoT-1 b,18.51089319234601,1670000000.0,32735000000.0,0.02752
CoRoT-12 b,15.546145124291865,1614000000.0,29143800000.0,0.04016
CoRoT-13 b,25.03133800369119,992000000.0,41570400000.0,0.051
CoRoT-19 b,17.123953965581457,1446000000.0,35278000000.0,0.0518
CoRoT-22 b,61.31212521392646,488000000.0,1220000000.0,0.092
CoRoT-24 c,62.343652811886756,500000000.0,2800000000.0,0.098
CoRoT-25 b,40.664146773695,1211000000.0,8581000000.0,0.0578
CoRoT-26 b,30.49648810556117,1412000000.0,16526000000.0,0.0526
CoRoT-28 b,35.608716633155716,1070459500.0,15382972000.0,0.0603
CoRoT-29 b,22.358119230869132,1008810000.0,27015550000.0,0.0386
CoRoT-35 b,18.25258857917195,1883108758.0,34961124770.0,0.0429
CoRoT-4 b,22.971686531944663,1334000000.0,22883000000.0,0.09
CoRoT-5 b,28.037725240566004,1555800000.0,14842000000.0,0.04947
CoRoT-7 b,74.38810291144871,168135000.0,407660518.0,0.017016
CoRoT-7 c,70.69683151628149,283000000.0,840000000.0,0.046
CoRoT-8 b,55.47381540167694,639000000.0,6992000000.0,0.063
CoRoT-9 b,4.9374691825441435,1194879400.0,26697720000.0,0.4021
DMPP-2 b,29.784297962082967,1430000000.0,13889171000.0,0.0664
DMPP-3 A b,66.11885392222526,141000000.0,258000000.0,0.0662
EPIC 201595106 b,74.2761443737157,156500000.0,767000000.0,0.0177
EPIC 211945201 b,59.51811276133781,576000000.0,2700000000.0,0.1493
EPIC 212737443 b,61.16639886857897,258600000.0,720000000.0,0.098
EPIC 212737443 c,53.06299696000579,269000000.0,770000000.0,0.28
EPIC 220674823 b,74.0038161669767,167600000.0,780000000.0,0.01314
EPIC 220674823 c,60.601691490200245,284000000.0,732000000.0,0.1073
EPIC 249893012 b,70.71357169821736,195000000.0,875000000.0,0.047
EPIC 249893012 c,63.51366732877614,367000000.0,1467000000.0,0.13
EPIC 249893012 d,54.36754601442735,394000000.0,1018000000.0,0.22
G 192-15 b,75.91085108823673,102000000.0,103000000.0,0.01723
G 261-6 b,75.21053452854834,110000000.0,137000000.0,0.02971
G 268-110 b,75.72906908153648,113000000.0,152000000.0,0.01283
G 9-40 b,73.02345584433469,190000000.0,400000000.0,0.0418
GJ 1132 b,76.41446304338461,119151465.0,183704819.0,0.0157
GJ 1214 b,71.70856784351916,273300000.0,841000000.0,0.01505
GJ 1265 b,70.77728448887322,263000000.0,740000000.0,0.026
GJ 1289 b,62.52750072491154,238000000.0,627000000.0,0.27
GJ 143 b,56.15075022554707,261000000.0,2270000000.0,0.1915
GJ 15 A b,68.5053128075671,155000000.0,303000000.0,0.072
GJ 160.2 b,67.47161191879249,317000000.0,1020000000.0,0.053
GJ 163 b,65.74956848366622,325000000.0,1060000000.0,0.0607
GJ 163 c,63.3806595209807,250000000.0,680000000.0,0.1254
GJ 180 b,67.04595293620837,243000000.0,649000000.0,0.092
GJ 180 c,64.5087742548142,241000000.0,640000000.0,0.129
GJ 180 d,53.68046742730874,266000000.0,756000000.0,0.309
GJ 251 b,66.87597036479518,183000000.0,400000000.0,0.0818
GJ 27.1 b,62.929720720520365,366000000.0,1300000000.0,0.101
GJ 273 b,67.076282049817,151000000.0,289000000.0,0.091101
GJ 273 c,66.69597955428996,106000000.0,118000000.0,0.036467
GJ 3082 b,60.83341331953024,279000000.0,820000000.0,0.079
GJ 3138 b,66.87919090004559,118000000.0,178000000.0,0.0197
GJ 3138 c,67.22661988476783,188000000.0,418000000.0,0.057
GJ 3293 b,57.53411651108236,519000000.0,2354000000.0,0.14339
GJ 3293 c,49.36015541463576,487000000.0,2109000000.0,0.36175
GJ 3293 d,57.929750630759706,267000000.0,760000000.0,0.19394
GJ 3293 e,63.862659203308695,163000000.0,328000000.0,0.08208
GJ 3323 c,60.586681368108344,132000000.0,231000000.0,0.1264
GJ 3470 b,67.3529322852345,457000000.0,1390000000.0,0.0355
GJ 3473 b,75.41607208141042,126400000.0,186000000.0,0.01589
GJ 3473 c,69.49277843350427,263000000.0,741000000.0,0.0876
GJ 3634 b,67.33266146597218,283000000.0,840000000.0,0.0287
GJ 367 b,76.72708619741438,0.699,0.633,0.00709
GJ 3779 b,68.26068756401463,275000000.0,800000000.0,0.026
GJ 3929 b,75.619803066776,109000000.0,175000000.0,0.0252
GJ 3929 c,70.60600181757013,226000000.0,571000000.0,0.081
GJ 3942 b,64.3330838004622,257000000.0,714000000.0,0.0608
GJ 3988 b,73.2489689551938,174000000.0,369000000.0,0.0405
GJ 3998 b,74.8361783560326,139000000.0,250000000.0,0.03
GJ 3998 c,70.12621080774655,250000000.0,682000000.0,0.09
GJ 3998 d,66.36216908359827,234000000.0,607000000.0,0.189
GJ 422 b,60.988386756253995,333000000.0,1107000000.0,0.111
GJ 433 b,71.06141480149404,233000000.0,604300000.0,0.062
GJ 433 d,65.01156309714729,214000000.0,522300000.0,0.178
GJ 436 b,58.348330811176844,417000000.0,2210000000.0,0.0291
GJ 480 b,62.26652639514571,369000000.0,1320000000.0,0.068
