nome_planeta,categoria_original,categoria_predita,previsao_correta
Kepler-292 c,Terrestre,Terrestre,True
Kepler-780 b,Terrestre,Terrestre,True
Kepler-934 b,Não-Terrestre,Não-Terrestre,True
Kepler-169 d,Terrestre,Terrestre,True
Kepler-792 b,Terrestre,Terrestre,True
TOI-1184 b,Não-Terrestre,Terrestre,False
K2-57 b,Não-Terrestre,Não-Terrestre,True
GJ 2030 b,Terrestre,Não-Terrestre,False
Kepler-1762 b,Não-Terrestre,Não-Terrestre,True
Kepler-1842 b,Terrestre,Terrestre,True
Kepler-1402 b,Terrestre,Terrestre,True
TOI-431 b,Terrestre,Terrestre,True
K2-141 b,Terrestre,Terrestre,True
Kepler-179 b,Terrestre,Terrestre,True
GJ 676 A d,Terrestre,Terrestre,True
K2-45 b,Não-Terrestre,Não-Terrestre,True
Kepler-1021 b,Terrestre,Terrestre,True
K2-226 b,Terrestre,Terrestre,True
Kepler-650 b,Não-Terrestre,Não-Terrestre,True
Kepler-1392 b,Terrestre,Terrestre,True
GJ 667 C e,Não-Terrestre,Não-Terrestre,True
Kepler-1522 b,Terrestre,Terrestre,True
Kepler-301 c,Terrestre,Terrestre,True
Kepler-1905 b,Terrestre,Terrestre,True
Kepler-1078 b,Terrestre,Terrestre,True
HD 7924 c,Não-Terrestre,Não-Terrestre,True
Kepler-1953 b,Terrestre,Terrestre,True
Kepler-710 b,Terrestre,Terrestre,True
Kepler-552 b,Não-Terrestre,Não-Terrestre,True
Kepler-1935 b,Terrestre,Não-Terrestre,False
Kepler-1149 b,Terrestre,Terrestre,True
Kepler-1174 b,Terrestre,Terrestre,True
Kepler-213 c,Não-Terrestre,Terrestre,False
Kepler-300 c,Não-Terrestre,Não-Terrestre,True
Kepler-1733 b,Não-Terrestre,Não-Terrestre,True
Kepler-343 c,Não-Terrestre,Não-Terrestre,True
G 9-40 b,Terrestre,Terrestre,True
Kepler-1543 b,Não-Terrestre,Não-Terrestre,True
Kepler-877 b,Terrestre,Terrestre,True
Kepler-219 b,Não-Terrestre,Não-Terrestre,True
K2-117 c,Não-Terrestre,Não-Terrestre,True
AU Mic c,Não-Terrestre,Não-Terrestre,True
HD 99492 b,Não-Terrestre,Não-Terrestre,True
Kepler-373 c,Terrestre,Terrestre,True
Kepler-254 c,Terrestre,Terrestre,True
Kepler-84 c,Não-Terrestre,Não-Terrestre,True
TOI-1736 b,Não-Terrestre,Não-Terrestre,True
Kepler-1350 c,Terrestre,Terrestre,True
HD 63433 d,Terrestre,Terrestre,True
Kepler-255 b,Terrestre,Terrestre,True
HAT-P-26 b,Não-Terrestre,Não-Terrestre,True
Kepler-1819 b,Não-Terrestre,Não-Terrestre,True
Kepler-632 b,Não-Terrestre,Não-Terrestre,True
Kepler-212 c,Não-Terrestre,Não-Terrestre,True
K2-32 e,Terrestre,Terrestre,True
TOI-3785 b,Não-Terrestre,Não-Terrestre,True
HD 39855 b,Não-Terrestre,Não-Terrestre,True
GJ 251 b,Não-Terrestre,Não-Terrestre,True
Kepler-366 b,Terrestre,Terrestre,True
Kepler-1147 b,Não-Terrestre,Não-Terrestre,True
Kepler-325 b,Não-Terrestre,Não-Terrestre,True
Kepler-278 b,Não-Terrestre,Não-Terrestre,True
Kepler-1498 b,Não-Terrestre,Não-Terrestre,True
Kepler-1057 b,Não-Terrestre,Não-Terrestre,True
Kepler-210 b,Não-Terrestre,Não-Terrestre,True
TOI-1136 c,Não-Terrestre,Não-Terrestre,True
TOI-5126 b,Não-Terrestre,Não-Terrestre,True
TOI-1437 b,Não-Terrestre,Não-Terrestre,True
Kepler-147 c,Não-Terrestre,Não-Terrestre,True
Kepler-405 b,Terrestre,Terrestre,True
Kepler-234 b,Não-Terrestre,Não-Terrestre,True
Kepler-1076 b,Terrestre,Terrestre,True
Kepler-1221 b,Terrestre,Terrestre,True
Kepler-227 b,Não-Terrestre,Não-Terrestre,True
Kepler-1301 b,Terrestre,Terrestre,True
Kepler-192 c,Não-Terrestre,Não-Terrestre,True
TOI-5713 b,Terrestre,Não-Terrestre,False
Kepler-159 c,Não-Terrestre,Não-Terrestre,True
Kepler-1732 b,Não-Terrestre,Não-Terrestre,True
HD 183579 b,Não-Terrestre,Não-Terrestre,True
Kepler-787 b,Terrestre,Terrestre,True
Kepler-273 c,Terrestre,Terrestre,True
HD 12235 b,Não-Terrestre,Não-Terrestre,True
Kepler-126 b,Terrestre,Terrestre,True
Kepler-1641 b,Não-Terrestre,Não-Terrestre,True
Kepler-1150 b,Terrestre,Terrestre,True
HD 134060 b,Não-Terrestre,Não-Terrestre,True
Kepler-1205 b,Terrestre,Terrestre,True
Kepler-1233 b,Não-Terrestre,Não-Terrestre,True
Kepler-1738 b,Não-Terrestre,Não-Terrestre,True
