nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
55 Cnc e,52.77205981336656,187500000.0,799000000.0,0.01544
61 Vir b,50.80485683835173,211000000.0,510000000.0,0.050201
61 Vir c,10.180257052535717,446000000.0,1820000000.0,0.2175
AU Mic b,19.749570116703975,395677019.0,2012000000.0,0.0649
AU Mic c,41.65184229011191,252202066.0,960000000.0,0.1108
BD+20 594 b,18.940960852802213,257807000.0,2224810000.0,0.241
BD-06 1339 b,44.14378360230263,285000000.0,850000000.0,0.0428
Barnard b,78.64003917224265,0.72,0.299,0.0229
Barnard c,76.22441601824175,0.743,0.335,0.0274
Barnard d,78.40661802995938,0.694,0.263,0.0188
Barnard e,77.31693342942899,0.637,0.193,0.0381
CoRoT-22 b,28.176735230735602,488000000.0,1220000000.0,0.092
CoRoT-24 c,16.360608020957443,500000000.0,2800000000.0,0.098
CoRoT-7 b,60.405063271117136,168135000.0,407660518.0,0.017016
CoRoT-7 c,44.48238497097942,283000000.0,840000000.0,0.046
DMPP-3 A b,58.313203002502185,141000000.0,258000000.0,0.0662
EPIC 201595106 b,56.37935211953868,156500000.0,767000000.0,0.0177
EPIC 211945201 b,14.444999971978884,576000000.0,2700000000.0,0.1493
EPIC 212737443 b,38.355884978914865,258600000.0,720000000.0,0.098
EPIC 220674823 b,55.325090010437734,167600000.0,780000000.0,0.01314
EPIC 220674823 c,37.557931327418586,284000000.0,732000000.0,0.1073
EPIC 249893012 b,49.80943877373611,195000000.0,875000000.0,0.047
EPIC 249893012 c,24.685563108634323,367000000.0,1467000000.0,0.13
EPIC 249893012 d,21.341378596723796,394000000.0,1018000000.0,0.22
G 192-15 b,69.24858118388235,102000000.0,103000000.0,0.01723
G 261-6 b,67.36247967762095,110000000.0,137000000.0,0.02971
G 268-110 b,67.91556975169703,113000000.0,152000000.0,0.01283
G 9-40 b,57.362665536759344,190000000.0,400000000.0,0.0418
GJ 1132 b,67.45901099360194,119151465.0,183704819.0,0.0157
GJ 1214 b,46.027929075741895,273300000.0,841000000.0,0.01505
GJ 1265 b,47.1598772782567,263000000.0,740000000.0,0.026
GJ 143 b,13.141484940132733,261000000.0,2270000000.0,0.1915
GJ 15 A b,57.41031470755175,155000000.0,303000000.0,0.072
GJ 160.2 b,37.78660704942412,317000000.0,1020000000.0,0.053
GJ 163 b,35.19849191483018,325000000.0,1060000000.0,0.0607
GJ 163 c,40.99912804132285,250000000.0,680000000.0,0.1254
GJ 180 b,45.344277421822895,243000000.0,649000000.0,0.092
GJ 180 c,42.9731700614028,241000000.0,640000000.0,0.129
GJ 2030 b,47.17034023019653,203000000.0,476742611.0,0.034
