nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
11 Com b,41.02789005987523,1220000000.0,491489848585.0,11780000000.0
11 UMi b,43.79880503976659,1230000000.0,468481420000.0,15300000000.0
14 And b,64.5215471635982,1310000000.0,113115130051.0,0.775
14 Her b,41.99768000834728,1260000000.0,255947216157.0,27740000000.0
16 Cyg B b,57.50734021480633,1350000000.0,56573740000.0,16600000000.0
17 Sco b,60.505951050123144,1290000000.0,137301871824.0,14500000000.0
18 Del b,46.5540392164504,1250000000.0,292624614325.0,24760000000.0
24 Boo b,70.89912222172772,1390000000.0,28064248338.0,0.194
24 Sex b,65.89471746607978,1340000000.0,63246000000.0,13330000000.0
24 Sex c,63.19621302558231,1390000000.0,27332000000.0,20800000000.0
2MASS J19383260+4603591 b,62.525837308571106,1340000000.0,60387700000.0,0.92
30 Ari B b,41.02196210399001,1230000000.0,439241060000.0,0.99
4 UMa b,43.82413299814885,1260000000.0,251148007211.0,0.877
51 Eri b,44.88555981001755,1340000000.0,63566000000.0,132000000000.0
51 Peg b,71.63324266913277,1430000000.0,14620180000.0,0.0527
55 Cnc b,71.02378361463188,1390000000.0,26397850000.0,0.1134
55 Cnc c,83.18223981352723,851000000.0,5447380000.0,0.2373
55 Cnc d,55.03571259268771,1300000000.0,123249300000.0,59570000000.0
55 Cnc e,95.68797685559336,187500000.0,799000000.0,0.01544
55 Cnc f,83.93673627915516,759000000.0,4481200000.0,0.7708
6 Lyn b,66.45717037282454,1340000000.0,59783523357.0,20280000000.0
61 Vir b,93.78752179939195,211000000.0,510000000.0,0.050201
61 Vir c,88.81433602090475,446000000.0,1820000000.0,0.2175
61 Vir d,83.09063584173671,511000000.0,2290000000.0,0.476
7 CMa b,66.46755774623759,1340000000.0,58798550000.0,17580000000.0
7 CMa c,67.53593650566923,1390000000.0,27651210000.0,21530000000.0
70 Vir b,46.188097685793046,1260000000.0,238045000000.0,0.481
75 Cet b,63.94451607311786,1330000000.0,78789662095.0,19120000000.0
75 Cet c,66.64608574830451,1390000000.0,28985950718.0,39290000000.0
8 UMi b,69.61580964124336,1360000000.0,41635730000.0,0.49
81 Cet b,62.859535183388246,1310000000.0,105105854195.0,21040000000.0
91 Aqr b,65.71095631956351,1310000000.0,101700000000.0,0.7
AF Lep b,51.750675349954896,1310000000.0,101705090240.0,84000000000.0
AU Mic b,92.1283500823181,395677019.0,2012000000.0,0.0649
AU Mic c,94.87722742586736,252202066.0,960000000.0,0.1108
BD+03 2562 b,51.9799528554862,1270000000.0,203411200000.0,13000000000.0
BD+14 4559 b,65.14792520642868,1380000000.0,33054320000.0,0.78
BD+15 2375 b,70.55254965169146,1380000000.0,33721763000.0,0.576
BD+15 2940 b,65.77184044784457,1370000000.0,35278000000.0,0.539
BD+20 2457 b,42.78341384092255,1210000000.0,680763000000.0,14500000000.0
BD+20 2457 c,40.96249794280299,1240000000.0,396317000000.0,20100000000.0
BD+20 274 b,57.65259689049976,1300000000.0,133488600000.0,13000000000.0
BD+20 594 b,94.58243420666852,257807000.0,2224810000.0,0.241
BD+45 564 b,68.18935941540151,1360000000.0,43224663352.0,0.83
BD+48 738 b,66.15362168161232,1390000000.0,28922530000.0,10000000000.0
BD+49 828 b,58.1333444487774,1350000000.0,50850000000.0,42000000000.0
BD+55 362 b,66.13401815619862,1400000000.0,22883645304.0,0.78
BD+63 1405 b,34.35020031684717,1240000000.0,330541543280.0,20600000000.0
BD-06 1339 b,94.19837991763441,285000000.0,850000000.0,0.0428
BD-06 1339 c,77.50075409515875,838000000.0,5300000000.0,0.435
BD-10 3166 b,71.63719012194599,1410000000.0,18751970000.0,0.04
BD-11 4672 b,68.19221201564544,1410000000.0,20658950000.0,23600000000.0
BD-11 4672 c,84.11735885448492,404000000.0,1537000000.0,0.3
BD-13 2130 b,41.82912184245308,1250000000.0,310837740000.0,16600000000.0
BD-17 63 b,49.265829643892715,1280000000.0,163999458012.0,13400000000.0
BD-210397 b,66.94830171326424,1400000000.0,21400000000.0,26300000000.0
BD-210397 c,46.19671710703632,1290000000.0,152557635360.0,59000000000.0
Barnard b,99.71787602423805,0.72,0.299,0.0229
Barnard c,98.65764378331555,0.743,0.335,0.0274
Barnard d,99.50586514565376,0.694,0.263,0.0188
Barnard e,99.50570991935923,0.637,0.193,0.0381
CI Tau c,54.949473506145964,1300000000.0,114418226520.0,0.17
CoRoT-1 b,66.62469213098446,1670000000.0,32735000000.0,0.02752
CoRoT-10 b,61.45600546044155,1087000000.0,87400000000.0,0.1055
CoRoT-11 b,62.81154147459934,1603000000.0,74051000000.0,0.0436
CoRoT-12 b,66.18001636926392,1614000000.0,29143800000.0,0.04016
CoRoT-13 b,77.12153070953175,992000000.0,41570400000.0,0.051
CoRoT-14 b,54.33338886298677,1222000000.0,241540000000.0,0.027
CoRoT-16 b,67.0902892610135,1311000000.0,17003200000.0,0.0618
CoRoT-17 b,70.98597851968063,1143000000.0,77229000000.0,0.0461
CoRoT-19 b,68.86128298627277,1446000000.0,35278000000.0,0.0518
CoRoT-2 b,59.7710041564523,1643200000.0,110282000000.0,0.02798
CoRoT-20 b,59.64917618963476,941556000.0,136666900000.0,0.09
CoRoT-20 c,33.79351079154531,1220000000.0,540311000000.0,29000000000.0
CoRoT-22 b,89.41534680879383,488000000.0,1220000000.0,0.092
CoRoT-23 b,66.57562269107564,1177000000.0,88990000000.0,0.048
CoRoT-24 c,89.96788867920169,500000000.0,2800000000.0,0.098
CoRoT-25 b,76.04053016122589,1211000000.0,8581000000.0,0.0578
CoRoT-26 b,71.52079223023466,1412000000.0,16526000000.0,0.0526
CoRoT-28 b,77.77193388935453,1070459500.0,15382972000.0,0.0603
CoRoT-29 b,77.11767019569945,1008810000.0,27015550000.0,0.0386
CoRoT-3 b,48.32073091326777,1132000000.0,688391000000.0,0.05783
