nome_planeta,categoria_original,categoria_predita,previsao_correta
Kepler-1960 b,Terrestre,Terrestre,True
HD 5319 b,Terrestre,Terrestre,True
Kepler-1634 b,Terrestre,Terrestre,True
HD 142 c,Não-Terrestre,Terrestre,False
Kepler-1759 b,Terrestre,Terrestre,True
HD 27894 d,Terrestre,Terrestre,True
Kepler-186 e,Terrestre,Terrestre,True
Kepler-1921 c,Terrestre,Terrestre,True
GJ 3512 b,Terrestre,Terrestre,True
HD 73344 d,Terrestre,Terrestre,True
HD 159868 c,Terrestre,Terrestre,True
Kepler-913 b,Terrestre,Terrestre,True
Kepler-314 c,Terrestre,Terrestre,True
Kepler-1517 b,Terrestre,Terrestre,True
Kepler-138 b,Terrestre,Terrestre,True
Kepler-66 b,Terrestre,Terrestre,True
HD 86950 b,Terrestre,Terrestre,True
WASP-90 b,Terrestre,Terrestre,True
WASP-156 b,Terrestre,Terrestre,True
HD 60292 b,Terrestre,Terrestre,True
NGTS-23 b,Terrestre,Terrestre,True
Kepler-1837 b,Terrestre,Terrestre,True
HD 32963 b,Terrestre,Terrestre,True
Kepler-315 c,Terrestre,Terrestre,True
HAT-P-3 b,Terrestre,Terrestre,True
TYC 1422-614-1 c,Terrestre,Terrestre,True
Kepler-797 b,Terrestre,Terrestre,True
Kepler-120 b,Terrestre,Terrestre,True
Kepler-56 c,Terrestre,Terrestre,True
HD 216520 c,Terrestre,Terrestre,True
Kepler-935 b,Terrestre,Terrestre,True
Kepler-1185 b,Terrestre,Terrestre,True
Kepler-275 d,Terrestre,Terrestre,True
TOI-1117 d,Terrestre,Terrestre,True
Kepler-698 b,Terrestre,Terrestre,True
Kepler-570 b,Terrestre,Terrestre,True
EPIC 249893012 c,Terrestre,Terrestre,True
Kepler-134 c,Terrestre,Terrestre,True
Kepler-1647 b,Terrestre,Terrestre,True
TOI-954 b,Terrestre,Terrestre,True
Kepler-767 b,Terrestre,Terrestre,True
Kepler-361 b,Terrestre,Terrestre,True
