nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
14 And b,52.89964794196996,1310000000.0,113115130051.0,0.775
14 Her b,18.767478725855096,1260000000.0,255947216157.0,27740000000.0
17 Sco b,40.358582511097765,1290000000.0,137301871824.0,14500000000.0
18 Del b,31.782207530790018,1250000000.0,292624614325.0,24760000000.0
24 Boo b,67.37367462940823,1390000000.0,28064248338.0,0.194
24 Sex b,52.94400651800399,1340000000.0,63246000000.0,13330000000.0
24 Sex c,48.19154545926825,1390000000.0,27332000000.0,20800000000.0
2MASS J19383260+4603591 b,52.72789495175897,1340000000.0,60387700000.0,0.92
4 UMa b,35.01681408831941,1260000000.0,251148007211.0,0.877
51 Eri b,22.326208288856616,1340000000.0,63566000000.0,132000000000.0
51 Peg b,69.47345619231355,1430000000.0,14620180000.0,0.0527
55 Cnc b,67.67132908545462,1390000000.0,26397850000.0,0.1134
55 Cnc c,82.01446934061643,851000000.0,5447380000.0,0.2373
55 Cnc d,18.736768518372067,1300000000.0,123249300000.0,59570000000.0
55 Cnc e,95.22620434461854,187500000.0,799000000.0,0.01544
55 Cnc f,82.03685652909083,759000000.0,4481200000.0,0.7708
6 Lyn b,50.74859779386532,1340000000.0,59783523357.0,20280000000.0
61 Vir b,92.72858119652238,211000000.0,510000000.0,0.050201
61 Vir c,87.26621579150051,446000000.0,1820000000.0,0.2175
61 Vir d,79.48334008070617,511000000.0,2290000000.0,0.476
7 CMa b,52.05664213496785,1340000000.0,58798550000.0,17580000000.0
7 CMa c,53.811714187039854,1390000000.0,27651210000.0,21530000000.0
70 Vir b,35.336254086308976,1260000000.0,238045000000.0,0.481
75 Cet b,46.937055905043124,1330000000.0,78789662095.0,19120000000.0
75 Cet c,44.65662065328606,1390000000.0,28985950718.0,39290000000.0
8 UMi b,64.49086461950006,1360000000.0,41635730000.0,0.49
81 Cet b,42.597182205297884,1310000000.0,105105854195.0,21040000000.0
91 Aqr b,55.20304274166074,1310000000.0,101700000000.0,0.7
AF Lep b,19.230216073881095,1310000000.0,101705090240.0,84000000000.0
AU Mic b,91.61726672936862,395677019.0,2012000000.0,0.0649
AU Mic c,94.49886873974539,252202066.0,960000000.0,0.1108
BD+03 2562 b,32.76089664475558,1270000000.0,203411200000.0,13000000000.0
BD+14 4559 b,58.46198385871176,1380000000.0,33054320000.0,0.78
BD+15 2375 b,66.25844405650037,1380000000.0,33721763000.0,0.576
BD+15 2940 b,59.414112209000486,1370000000.0,35278000000.0,0.539
BD+20 274 b,37.106428417058325,1300000000.0,133488600000.0,13000000000.0
BD+20 594 b,94.00916096879862,257807000.0,2224810000.0,0.241
BD+45 564 b,61.96374172038879,1360000000.0,43224663352.0,0.83
BD+48 738 b,56.717404091821706,1390000000.0,28922530000.0,10000000000.0
BD+49 828 b,29.25596618781879,1350000000.0,50850000000.0,42000000000.0
BD+55 362 b,60.54985815732934,1400000000.0,22883645304.0,0.78
BD-06 1339 b,93.81385619639975,285000000.0,850000000.0,0.0428
BD-06 1339 c,73.77761270435222,838000000.0,5300000000.0,0.435
BD-10 3166 b,69.11391715771705,1410000000.0,18751970000.0,0.04
BD-11 4672 b,53.298027042861094,1410000000.0,20658950000.0,23600000000.0
BD-11 4672 c,81.7324753778049,404000000.0,1537000000.0,0.3
BD-13 2130 b,30.661767717454303,1250000000.0,310837740000.0,16600000000.0
BD-17 63 b,27.480258542138927,1280000000.0,163999458012.0,13400000000.0
BD-210397 b,50.05148026256716,1400000000.0,21400000000.0,26300000000.0
BD-210397 c,6.91234909209436,1290000000.0,152557635360.0,59000000000.0
Barnard b,99.59698776093322,0.72,0.299,0.0229
Barnard c,98.1045498347788,0.743,0.335,0.0274
Barnard d,99.3005968289761,0.694,0.263,0.0188
Barnard e,99.29144721038651,0.637,0.193,0.0381
CoRoT-1 b,63.472699206339,1670000000.0,32735000000.0,0.02752
CoRoT-10 b,52.81453002236729,1087000000.0,87400000000.0,0.1055
CoRoT-11 b,55.863525347393534,1603000000.0,74051000000.0,0.0436
CoRoT-12 b,63.040091473467704,1614000000.0,29143800000.0,0.04016
CoRoT-13 b,72.61416273136744,992000000.0,41570400000.0,0.051
CoRoT-14 b,45.814519325372856,1222000000.0,241540000000.0,0.027
CoRoT-16 b,62.11017195913095,1311000000.0,17003200000.0,0.0618
CoRoT-17 b,63.1234862401578,1143000000.0,77229000000.0,0.0461
CoRoT-19 b,64.56812920822465,1446000000.0,35278000000.0,0.0518
CoRoT-2 b,49.62242873796913,1643200000.0,110282000000.0,0.02798
CoRoT-22 b,88.49935671987609,488000000.0,1220000000.0,0.092
CoRoT-23 b,56.52590120088181,1177000000.0,88990000000.0,0.048
CoRoT-24 c,89.27138474764665,500000000.0,2800000000.0,0.098
CoRoT-25 b,74.44103176719707,1211000000.0,8581000000.0,0.0578
CoRoT-26 b,69.08402057015226,1412000000.0,16526000000.0,0.0526
CoRoT-28 b,75.50662759235348,1070459500.0,15382972000.0,0.0603
CoRoT-29 b,73.52161124085433,1008810000.0,27015550000.0,0.0386
CoRoT-35 b,63.05930552671035,1883108758.0,34961124770.0,0.0429
CoRoT-4 b,69.41511107757803,1334000000.0,22883000000.0,0.09
CoRoT-5 b,65.07430225785451,1555800000.0,14842000000.0,0.04947
CoRoT-7 b,96.16839573604878,168135000.0,407660518.0,0.017016
CoRoT-7 c,93.85482428228504,283000000.0,840000000.0,0.046
CoRoT-8 b,85.817126291311,639000000.0,6992000000.0,0.063
CoRoT-9 b,68.26130612028162,1194879400.0,26697720000.0,0.4021
DMPP-2 b,67.88903687605097,1430000000.0,13889171000.0,0.0664
DMPP-3 A b,93.53041695887525,141000000.0,258000000.0,0.0662
DP Leo b,5.385139300989825,1270000000.0,199588832000.0,81900000000.0
EPIC 201595106 b,96.3277500118815,156500000.0,767000000.0,0.0177
EPIC 211945201 b,87.80069445278144,576000000.0,2700000000.0,0.1493
EPIC 212737443 b,89.36315007790796,258600000.0,720000000.0,0.098
EPIC 212737443 c,89.0443286088245,269000000.0,770000000.0,0.28
EPIC 220674823 b,96.11021901301076,167600000.0,780000000.0,0.01314
EPIC 220674823 c,89.76344295618625,284000000.0,732000000.0,0.1073
EPIC 249893012 b,94.76128818945921,195000000.0,875000000.0,0.047
EPIC 249893012 c,90.99553427310121,367000000.0,1467000000.0,0.13
EPIC 249893012 d,88.12835861270875,394000000.0,1018000000.0,0.22
G 192-15 b,97.50156500950771,102000000.0,103000000.0,0.01723
G 261-6 b,97.33363975753421,110000000.0,137000000.0,0.02971
G 268-110 b,97.28109632774726,113000000.0,152000000.0,0.01283
G 9-40 b,95.7340720991429,190000000.0,400000000.0,0.0418
GJ 1132 b,97.50736410142531,119151465.0,183704819.0,0.0157
GJ 1148 b,65.06941190834068,1190000000.0,9670000000.0,0.166
GJ 1148 c,69.12293630131457,971000000.0,6806000000.0,0.912
GJ 1214 b,94.2318599839403,273300000.0,841000000.0,0.01505
GJ 1265 b,94.06423153309025,263000000.0,740000000.0,0.026
GJ 1289 b,94.54149677082647,238000000.0,627000000.0,0.27
GJ 143 b,89.34320846514375,261000000.0,2270000000.0,0.1915
GJ 15 A b,94.61205805284435,155000000.0,303000000.0,0.072
GJ 15 A c,48.85914175364457,667000000.0,3600000000.0,54000000000.0
GJ 160.2 b,92.36660547797683,317000000.0,1020000000.0,0.053
GJ 163 b,91.80961390822733,325000000.0,1060000000.0,0.0607
GJ 163 c,92.52282901653741,250000000.0,680000000.0,0.1254
GJ 163 d,71.84760839215544,592000000.0,2940000000.0,10304000000.0
GJ 179 b,45.75771054062966,1380000000.0,30193698665.0,24100000000.0
GJ 180 b,93.5463264025741,243000000.0,649000000.0,0.092
GJ 180 c,92.97561164506111,241000000.0,640000000.0,0.129
GJ 180 d,90.80879805949353,266000000.0,756000000.0,0.309
GJ 2030 b,89.34637241330609,203000000.0,476742611.0,0.034
GJ 229 A c,84.0258385487444,287000000.0,858136699.0,0.384
GJ 229 b,75.68082945310641,397000000.0,1493793513.0,10860000000.0
GJ 251 b,93.86684237026175,183000000.0,400000000.0,0.0818
GJ 27.1 b,90.74717039822066,366000000.0,1300000000.0,0.101
GJ 273 b,94.49831767892164,151000000.0,289000000.0,0.091101
GJ 273 c,93.3443560776949,106000000.0,118000000.0,0.036467
GJ 3021 b,44.61440978788013,1310000000.0,107104000000.0,0.49
GJ 3082 b,88.35662444213688,279000000.0,820000000.0,0.079
GJ 3138 b,92.51184777200011,118000000.0,178000000.0,0.0197
GJ 3138 c,93.48572430931036,188000000.0,418000000.0,0.057
GJ 3138 d,83.9692910553033,323000000.0,1050000000.0,0.698
GJ 317 c,29.645986065068396,1350000000.0,52250000000.0,52300000000.0
GJ 328 b,25.955016512924054,1330000000.0,79774930157.0,41100000000.0
GJ 3293 b,88.15314875339888,519000000.0,2354000000.0,0.14339
GJ 3293 c,87.13665196152492,487000000.0,2109000000.0,0.36175
GJ 3293 d,91.50582812875314,267000000.0,760000000.0,0.19394
GJ 3293 e,90.9908549171241,163000000.0,328000000.0,0.08208
GJ 3323 b,91.20956626010563,123000000.0,202000000.0,0.03282
GJ 3323 c,92.7451309534018,132000000.0,231000000.0,0.1264
GJ 3341 b,86.3382260008001,246000000.0,660000000.0,0.089
GJ 3470 b,90.8707514280986,457000000.0,1390000000.0,0.0355
GJ 3473 b,97.01560923884207,126400000.0,186000000.0,0.01589
